COMID,CatAreaSqKm,CatPctFull,WsAreaSqKm,WsPctFull,RdCrsCat,RdCrsWs
8673117,1.9962,100,3.2265,100,0.5009518084360279,0.30993336432666996
8673127,1.9278,100,1.9278,100,0.0,0.0
8673131,2.0187,100,5.7924,100,0.0,0.0
8673135,4.0851,100,1392.6582,100,0.0,0.538538458323801
8673139,0.0522,100,8.6373,100,19.157088122605398,0.347330763085687
8673141,1.8972,100,4.9716,100,1.05418511490618,0.603427468018344
8673143,3.3912,100,3.3912,100,0.294880868129276,0.294880868129276
8673145,0.0558,100,66.1716,100,0.0,0.31735669078577505
8673147,0.8388,100,0.8388,100,0.0,0.0
8673149,2.6298,100,18.108,100,0.0,0.22089684117517103
8673151,3.0744,100,3.0744,100,0.325266718709342,0.325266718709342
8673153,2.4939,100,15.2631,100,0.0,0.262069959575709
8673155,1.4805,100,1.4805,100,0.0,0.0
8673157,1.1691,100,1.1691,100,0.0,0.0
8673159,4.2165,100,9.0738,100,0.23716352424997003,0.11020741034627199
8673161,0.0396,100,0.261,100,0.0,0.0
8673163,0.9423,100,0.9423,100,0.0,0.0
8673165,3.0303,100,3.0303,100,0.0,0.0
8673167,0.0189,100,3.3102,100,0.0,0.0
8673169,1.8198,100,6.282,100,0.0,0.477554918815664
8673171,4.2237,100,284.5089,100,0.0,0.47801668067325803
8673173,3.0024,100,12.2355,100,0.0,0.0
8673175,0.7443,100,371.5218,100,0.0,0.48718540877009103
8673177,0.2367,100,15.1578,100,4.2247570764681,0.0659726345511882
8673179,0.0378,100,656.0685,100,0.0,0.483181253177069
8673181,1.6767,100,1.6767,100,0.59640961412298,0.59640961412298
8673183,2.835,100,2.835,100,0.35273368606701894,0.35273368606701894
8673185,2.8188,100,3.5496,100,0.0,0.0
8673187,3.9519,100,3.9519,100,0.253042840152838,0.253042840152838
8673189,0.3924,100,178.6617,100,2.5484199796126403,0.285455696436338
8673191,1.1997,100,1.1997,100,0.0,0.0
8673193,1.1673,100,1.1673,100,0.0,0.0
8673195,0.8505,100,11.0925,100,1.17577895355673,0.270453008789723
8673197,4.0806,100,18.2565,100,0.0,0.49297510475721
