COMID,CatAreaSqKm,CatPctFull,WsAreaSqKm,WsPctFull,RunoffCat,RunoffWs
9202075,0.7263,100.0,0.7263,100.0,375.0,375.0
9202077,2.6127,100.0,44.9973,100.0,375.0,375.160329619777
9202079,2.9151,100.0,4.3299,100.0,375.0,375.0
9202081,8.1783,100.0,8.9244,100.0,391.595135908441,390.20774505849096
9202083,5.6034,100.0,44.1378,100.0,375.0,374.74063047999704
9202085,3.2382,100.0,4.2021,100.0,375.0,375.0
9202087,3.3912,100.0,19.5822,100.0,375.0,370.139259123081
9202089,5.4108,100.0,5.4108,100.0,374.71922821024594,374.71922821024594
9202091,1.8099,100.0,50.7879,100.0,375.0,374.807339937269
9202093,1.422,100.0,13.0005,100.0,375.0,375.0
9202095,1.062,100.0,1.062,100.0,375.0,375.0
9202097,0.9837,100.0,0.9837,100.0,375.0,375.0
9202099,3.6585,100.0,35.5077,100.0,375.0,379.300053227891
9202101,1.2717,100.0,1.2717,100.0,375.0,375.0
9202103,5.5251,100.0,18.1908,100.0,375.0,383.10409657629094
9202105,3.0105,100.0,3.0105,100.0,375.0,375.0
9202107,1.4553,100.0,1.4553,100.0,375.0,375.0
9202109,2.9259,100.0,2.9259,100.0,375.0,375.0
9202111,0.7829999999999999,100.0,64.5714,100.0,375.0,374.848465419675
9202113,3.0924,100.0,3.7413,100.0,378.783469150175,378.12725523213896
9202115,4.7583,100.0,4.7583,100.0,375.0,375.0
9202117,3.3291,100.0,85.5288,100.0,375.0,375.891804865729
9202119,0.0045,100.0,8.1666,100.0,375.0,375.0
9202121,2.1321,100.0,3.4038,100.0,375.0,375.0
9202123,1.3248,100.0,1.3248,100.0,375.0,375.0
9202125,9.5715,100.0,9.5715,100.0,375.0,375.0
9202127,0.8199,100.0,3.8304,100.0,375.0,375.0
9202129,7.4043,100.0,36.7173,100.0,375.0,376.76054611858706
9202131,5.5647,100.0,59.2632,100.0,375.0,380.06393512331397
9202133,0.2655,100.0,96.24600000000001,100.0,375.0,378.789741911352
9202135,2.4174,100.0,3.4011,100.0,375.0,375.0
9202137,2.2194,100.0,3.1581,100.0,375.0,375.0
9202139,0.6489,100.0,0.6489,100.0,375.0,375.0
9202141,1.8297,100.0,69.327,100.0,375.0,374.85886018434405
9202143,3.6441,100.0,5.0994,100.0,375.0,375.0
9202145,0.6048,100.0,7.164,100.0,375.0,375.0
9202147,5.1912,100.0,8.7345,100.0,375.0,375.0
9202149,4.4199,100.0,5.1462,100.0,375.0,375.0
9202151,7.8921,100.0,57.2193,100.0,375.0,375.12608333202303
9202153,1.3842,100.0,2.7089999999999996,100.0,375.0,375.0
9202155,1.8396,100.0,101.916,100.0,375.0,378.578903214412
9202157,21.3237,100.0,26.7435,100.0,374.78052589372396,374.6349318526
9202159,8.8578,100.0,33.8508,100.0,375.0,372.14325215356797
9202161,11.7315,100.0,21.3264,100.0,375.0,375.0
9202163,4.1634,100.0,97.8588,100.0,375.0,375.77943935547995
9202165,8.3997,100.0,21.7044,100.0,375.0,374.559462597446
9202167,15.5484,100.0,15.6807,100.0,374.794396851123,374.728634563508
9202169,1.251,100.0,86.7051,100.0,375.0,374.757688994073
9202171,3.3624,100.0,3.3624,100.0,375.0,375.0
9202173,2.0772,100.0,64.4427,100.0,375.0,375.111950616594
9202177,9.3312,100.0,9.3312,100.0,375.0,375.0
9202179,7.8156,100.0,17.3871,100.0,375.0,375.0
9202181,5.6871,100.0,5.6871,100.0,375.0,375.0
9202183,2.1051,100.0,104.4909,100.0,375.0,374.75821052359595
9202185,5.6115,100.0,6.6735,100.0,375.0,375.0
9202187,3.1509,100.0,77.5773,100.0,375.0,374.873870320313
9202189,4.5099,100.0,4.5099,100.0,375.0,375.0
9202191,1.8261,100.0,1.8261,100.0,479.115327747659,479.115327747659
9202197,4.8258,100.0,44.1324,100.0,375.0,372.80879353944
9202199,4.8069,100.0,114.9849,100.0,375.0,374.78027723640196
9202201,7.6023,100.0,7.6023,100.0,374.83047235705004,374.83047235705004
9202203,17.1549,100.0,17.1549,100.0,375.0,375.0
9202205,5.4558,100.0,5.4558,100.0,375.0,375.0
9202207,5.8086,100.0,5.8086,100.0,375.0,375.0
9202209,8.2656,100.0,40.8177,100.0,375.0,374.760809648755
9202211,8.9667,100.0,10.7928,100.0,375.09786208973196,392.69721480987295
9202213,5.4828,100.0,38.6217,100.0,375.0,382.07361405634697
9202215,0.3816,100.0,28.1115,100.0,375.0,384.718264767088
9202217,14.5314,100.0,15.7113,100.0,375.0,375.0
9202219,15.1551,100.0,134.3403,100.0,375.0,375.567774524845
9202221,5.4432,100.0,5.4432,100.0,381.932043650794,381.932043650794
9202223,2.2617,100.0,16.9371,100.0,375.0,379.852808332005
9202225,6.7041,100.0,6.7041,100.0,375.0,375.0
9202227,2.2680000000000002,100.0,2.2680000000000002,100.0,375.0,375.0
9202229,10.8864,100.0,37.6047,100.0,375.0,375.0
9202231,6.2676,100.0,6.2676,100.0,375.0,375.0
9202233,11.2869,100.0,15.7968,100.0,375.0,375.0
9202235,7.956,100.0,92.2068,100.0,375.0,374.89388201304
9202237,17.4078,100.0,17.4078,100.0,375.0,375.0
9202239,5.0094,100.0,5.0094,100.0,376.545813869925,376.545813869925
9202241,9.1206,100.0,9.1206,100.0,375.063943161634,375.063943161634
9202243,5.1246,100.0,54.458999999999996,100.0,375.0,374.820723847298
9202245,8.5167,100.0,8.5167,100.0,375.0,375.0
9202247,1.0773,100.0,4.4145,100.0,375.0,375.0
