COMID,CatAreaSqKm,CatPctFull,WsAreaSqKm,WsPctFull,CanalDensCat,CanalDensWs
10961532,2.7405,100,57.1581,100,0.0,0.0
10961534,10.4094,100,703.6299,100,0.0,0.007250179060938141
10961536,0.4671,100,0.4671,100,0.0,0.0
10961538,0.0702,100,703.7001,100,0.0,0.007249455794634671
10961540,2.0151,100,5.3433,100,0.0,0.0
10961542,4.6656,100,65.4813,100,0.0,0.0
10961544,1.7037,100,72.5283,100,0.0,0.0
10961546,2.8413,100,9.6129,100,0.0,0.0
10961548,0.0702,100,85.1715,100,0.0,0.0
10961550,2.9601,100,85.1013,100,0.0,0.0
10961552,0.0414,100,0.0414,100,0.0,0.0
10961554,1.6317,100,16.1928,100,0.0,0.0
10961556,0.4959,100,5.2011,100,0.0,0.0
10961558,5.3892,100,26.7831,100,0.0,0.0
10961560,20.6919,100,20.6919,100,0.0,0.0
10961562,0.1989,100,0.1989,100,0.0,0.0
10961564,0.1134,100,0.1134,100,0.0,0.0
10961568,0.2772,100,1.9782,100,0.0,0.0
10961570,0.0972,100,2.6010000000000004,100,0.0,0.0
10961572,1.4139,100,3.5748,100,0.0,0.0
10961574,2.3508,100,5.1912,100,0.0,0.0
10961576,5.7132,100,5.7132,100,0.0,0.0
10961578,0.0954,100,0.0954,100,0.0,0.0
10961580,0.0378,100,0.0378,100,0.0,0.0
10961582,0.2556,100,0.2556,100,0.0,0.0
10961584,1.0278,100,1.0278,100,0.0,0.0
10961586,2.997,100,2.997,100,0.0,0.0
10961588,0.2979,100,0.2979,100,0.0,0.0
